车型,空间,动力,操控,油耗,舒适性,外观,内饰,性价比,月份,销量
E950,3,1.3,1.65,0.6,1.75,0.3,0.25,1,9,0
BORUI GE,1.68,0.44,3.12,0.6,0.04,NaN,NaN,NaN,3,0
BORUI GE,1.6,1.4,1.155555556,0.666666667,0.133333333,1.044444444,0.266666667,0.244444444,4,0
Rongwei MARVEL-X,5.12,4.24,0.84,NaN,-0.6,NaN,NaN,NaN,9,0
Rongwei RX5,3.641666667,0.983333333,1.85,0.166666667,-0.083333333,NaN,NaN,NaN,9,0
E950,4,2.2,9,NaN,NaN,NaN,NaN,NaN,7,3
E950,4.9,1.85,2.65,2,1.7,1.05,-0.45,0.05,8,3
Rongwei MARVEL-X,3.666666667,1.511111111,2.333333333,NaN,NaN,NaN,NaN,NaN,10,7
Rongwei RX5,4.2,2,4.8,3.2,2.2,NaN,NaN,NaN,10,7
MengDiOu,4.75,2,NaN,NaN,NaN,NaN,NaN,NaN,10,19
E950,1.65,1.6,NaN,4.9,1.5,0.5,0,-1,2,21
BMW-5,2.6,0.6,2.6,2.2,NaN,NaN,NaN,NaN,1,25
BMW-X1,6,0.05,1.4,-0.4,0.5,1.5,-0.2,-2,1,33
E950,3.35,0.55,1.1,1.75,0.6,1.1,-0.2,NaN,3,43
MengDiOu,-1,1,-1,-2,2,0.8,0.2,1,4,43
E950,5.4,1,NaN,NaN,NaN,NaN,NaN,NaN,6,44
Qiya K5,3.4,1.2,3.2,4.2,2,NaN,NaN,NaN,10,44
MengDiOu,0.333333333,0.733333333,1.266666667,-0.066666667,0.133333333,0,0.733333333,0.733333333,8,46
Qiya K5,0,-1,2,NaN,NaN,NaN,NaN,NaN,1,73
Qiya K5,0,2.2,NaN,4.2,0.8,2,-3,1,8,75
Rongwei MARVEL-X,5.6,0.6,NaN,NaN,NaN,NaN,NaN,NaN,7,80
Rongwei RX5,2.8,3.2,0.8,NaN,NaN,NaN,NaN,NaN,7,80
BMW-X1,0.266666667,0.566666667,-0.183333333,0.166666667,-0.5,-0.166666667,0.333333333,0.166666667,2,81
BMW-X1,1.6,-1,2.5,-1,1.5,0.5,NaN,NaN,3,117
BMW-X1,1.85,0,0.25,0.75,1.3,0.05,NaN,NaN,4,117
Rongwei MARVEL-X,2.238461538,2.953846154,1.261538462,0.346153846,0.061538462,0.092307692,NaN,NaN,5,128
Rongwei RX5,2.2,1.6,5.6,-2,NaN,NaN,NaN,NaN,5,128
Rongwei MARVEL-X,1.622222222,0.944444444,1.866666667,0.155555556,NaN,NaN,NaN,NaN,6,129
